gene,avg_methylation
ADD1,0.5640391226556112
ADD2,0.5767293098669621
ADD3,0.3400084510171399
ADGRA2,0.5
ADGRB1,0.5
ADGRE5,0.5
ADGRF5,0.5
ADGRG3,0.5
ADGRL1,0.5
ADGRL2,0.5
ADGRL3,0.5
ADH1A,0.7336324695121961
ADH1B,0.5947701761517622
ADH1C,0.47286561653116566
ADH4,0.5427498306233048
ADH5,0.11516769832471045
ADH7,0.6585977303523028
ADHFE1,0.2736367107933933
ADI1,0.5880237752282126
ADIPOQ,0.6775869444444443
ADIPOR1,0.23568327687443547
ADIPOR2,0.3439987932906906
ADK,0.24064807439871272
ADM,0.09951814411536965
ADNP,0.29531350779132787
ADO,0.1718055176948828
ADORA1,0.44623763388576204
ADORA2A,0.5487375762195121
ADORA2B,0.335903651815288
ADPGK,0.29657457091237566
ADRA1A,0.3986436307614855
ADRA1B,0.3251562450183323
ADRA1D,0.40944985928705424
ADRA2A,0.24400155714881316
ADRA2B,0.5658900745257452
ADRA2C,0.38398566552011676
ADRB1,0.22292335892803425
ADRB2,0.12247109756097561
ADRB3,0.401915507832276
ADRM1,0.3544271022636694
ADSL,0.18027442169957442
AEBP2,0.48615313715093633
AFAP1,0.679804090621109
AFDN,0.5
AFF1,0.36008305264493135
AFF4,0.31611170115792026
AFG3L2,0.3687874811803681
AFMID,0.3020424119241192
AGA,0.30803762138663043
AGAP2,0.4688919848267134
AGER,0.7485733909830006
AGFG1,0.2988862779068267
AGGF1,0.2830290779748705
AGL,0.2580354868370112
AGMAT,0.45498263862003757
AGMO,0.5788613369467018
AGO1,0.3906784014314503
AGO2,0.768209896573127
AGO3,0.26967305225104915
AGO4,0.232972306910569
AGPAT1,0.4340539318913461
AGPAT2,0.4948125246366101
AGPAT3,0.6953845511083316
AGPAT4,0.6124453946753208
AGPAT5,0.28160418526489206
AGPS,0.18642698444723418
AGR2,0.5615292208672087
AGR3,0.6937079691734416
AGRN,0.6553279497248433
AGRP,0.7633399728997288
AGT,0.6263964013501743
AGTR1,0.46749089749721046
AGTR2,0.5616040650406505
AGTRAP,0.35360203735965945
AGXT,0.7550051780874953
AGXT2,0.6338868291473089
AHCTF1,0.4189930503935992
AHCY,0.2052952497536339
AHCYL1,0.22909784393432156
AHCYL2,0.3293167120904167
AHI1,0.2714310419877076
AHNAK,0.3976064906691032
AHR,0.2579871643261884
AHRR,0.6877593349071937
AHSA1,0.15486232003726277
AHSG,0.571720150614968
AHSP,0.5588690464092135
AICDA,0.7491452526132402
AIF1,0.595735924796748
AIFM1,0.3719331599713058
AIFM2,0.5394445914634146
AIM2,0.5481570630081305
AIMP1,0.21853295762503047
AIMP2,0.24406661373644975
AIP,0.27534288648131994
AIPL1,0.6949680870112269
AJAP1,0.5673179137889258
AJUBA,0.243023671162848
AK2,0.19210907159716778
AK3,0.13632707317073126
AK4,0.3278568681442768
AK5,0.46407932369471494
AK8,0.4694685761660247
AKAP1,0.3755925766814486
AKAP10,0.42653361810953266
AKAP12,0.5172930335619876
AKAP13,0.5018211158319981
AKAP14,0.6790983062330616
AKAP3,0.43299780605855304
AKAP4,0.675579586720867
AKAP5,0.20627610355430454
AKAP7,0.37845648806835314
AKAP8,0.4725109441540845
AKAP8L,0.31458180537218483
AKAP9,0.220403906087138
AKIRIN1,0.19579844397616758
